volume,risk_weight,max_share,min_supplier,status,baseline_cost,optimized_cost,baseline_emissions,optimized_emissions,baseline_deforestation,optimized_deforestation,supplier_count,total_volume_sourced,timestamp
100000,0.75,0.5,3,completed,1014.0376449367672,965.0370414540939,1.683494291105607,0.9877428207333377,0.008206495222097186,0.001012675155977398,3,100000.0,2026-01-09T21:16:26.376913
100000,0.75,0.5,5,completed,1014.0376449367672,958.4211713005961,1.683494291105607,0.96879395779576,0.008206495222097186,0.0010085619748433662,5,100000.0,2026-01-09T21:16:48.528990
100000,0.75,0.5,7,completed,1014.0376449367672,956.7126028225789,1.683494291105607,0.9434707635545135,0.008206495222097186,0.0010044487937093342,7,100000.0,2026-01-09T21:17:13.320481
100000,0.75,0.5,9,completed,1014.0376449367672,956.9062116008043,1.683494291105607,0.9208886302112823,0.008206495222097186,0.001000335612575302,9,100000.0,2026-01-09T21:17:37.201106
100000,0.75,0.5,11,completed,1014.0376449367672,957.7296085956212,1.683494291105607,0.9628802369841511,0.008206495222097186,0.001001728572435614,11,100000.0,2026-01-09T21:17:59.459617
100000,0.75,0.6,3,completed,1014.0376449367672,960.0884967702302,1.683494291105607,0.9340605434242115,0.008206495222097186,0.0011742254982271881,3,100000.0,2026-01-09T21:18:21.623473
100000,0.75,0.6,5,completed,1014.0376449367672,953.4726266167323,1.683494291105607,0.9151116804866338,0.008206495222097186,0.001170112317093156,5,100000.0,2026-01-09T21:18:43.852759
100000,0.75,0.6,7,completed,1014.0376449367672,951.7640581387152,1.683494291105607,0.8897884862453872,0.008206495222097186,0.0011659991359591242,7,100000.0,2026-01-09T21:19:06.130040
100000,0.75,0.6,9,completed,1014.0376449367672,951.9576669169405,1.683494291105607,0.867206352902156,0.008206495222097186,0.001161885954825092,9,100000.0,2026-01-09T21:19:28.122355
100000,0.75,0.6,11,completed,1014.0376449367672,952.7810639117577,1.683494291105607,0.9091979596750249,0.008206495222097186,0.001163278914685404,11,100000.0,2026-01-09T21:19:50.149566
100000,0.75,0.7,3,completed,1014.0376449367672,955.1399520863664,1.683494291105607,0.8803782661150852,0.008206495222097186,0.001335775840476978,3,100000.0,2026-01-09T21:20:12.214924
100000,0.75,0.7,5,completed,1014.0376449367672,948.5240819328689,1.683494291105607,0.8614294031775076,0.008206495222097186,0.0013316626593429459,5,100000.0,2026-01-09T21:20:34.368377
100000,0.75,0.7,7,completed,1014.0376449367672,946.8155134548514,1.683494291105607,0.836106208936261,0.008206495222097186,0.001327549478208914,7,100000.0,2026-01-09T21:20:56.490380
100000,0.75,0.7,9,completed,1014.0376449367672,947.0091222330769,1.683494291105607,0.8135240755930295,0.008206495222097186,0.001323436297074882,9,100000.0,2026-01-09T21:21:18.588390
100000,0.75,0.7,11,completed,1014.0376449367672,947.8325192278938,1.683494291105607,0.8555156823658986,0.008206495222097186,0.001324829256935194,11,100000.0,2026-01-09T21:21:40.595671
100000,1.0,0.3,3,completed,1014.0376449367672,970.4511584678509,1.683494291105607,0.17683110684743414,0.008206495222097186,6.3347123602259e-05,9,100000.0,2026-01-09T21:22:03.690017
100000,1.0,0.3,5,completed,1014.0376449367672,971.995330571806,1.683494291105607,0.18675164307004205,0.008206495222097186,6.540371416927501e-05,10,100000.0,2026-01-09T21:22:26.774730
100000,1.0,0.3,7,completed,1014.0376449367672,971.995330571806,1.683494291105607,0.18675164307004205,0.008206495222097186,6.540371416927501e-05,10,100000.0,2026-01-09T21:22:49.792919
100000,1.0,0.3,9,completed,1014.0376449367672,970.1078046262187,1.683494291105607,0.19036043504496744,0.008206495222097186,6.540371416927501e-05,11,100000.0,2026-01-09T21:23:12.658217
100000,1.0,0.3,11,completed,1014.0376449367672,970.1078046262187,1.683494291105607,0.19036043504496744,0.008206495222097186,6.540371416927501e-05,11,100000.0,2026-01-09T21:23:35.720296
100000,1.0,0.4,3,completed,1014.0376449367672,982.667289073489,1.683494291105607,0.14957466083038723,0.008206495222097186,6.095040212754607e-05,8,100000.0,2026-01-09T21:23:58.080823
100000,1.0,0.4,5,completed,1014.0376449367672,982.3047345955989,1.683494291105607,0.15958016561374744,0.008206495222097186,6.168601410069806e-05,9,100000.0,2026-01-09T21:24:20.462833
100000,1.0,0.4,7,completed,1014.0376449367672,980.3980080137535,1.683494291105607,0.15966513417449968,0.008206495222097186,6.036503550683407e-05,10,100000.0,2026-01-09T21:24:42.980535
100000,1.0,0.4,9,completed,1014.0376449367672,976.6037554863209,1.683494291105607,0.1633588947101773,0.008206495222097186,5.904405691297007e-05,11,100000.0,2026-01-09T21:25:05.308238
100000,1.0,0.4,11,completed,1014.0376449367672,976.6037554863209,1.683494291105607,0.1633588947101773,0.008206495222097186,5.904405691297007e-05,11,100000.0,2026-01-09T21:25:27.829588
100000,1.0,0.5,3,completed,1014.0376449367672,979.2756289546245,1.683494291105607,0.12301373745775633,0.008206495222097186,4.7740616188906066e-05,8,100000.0,2026-01-09T21:25:50.217471
100000,1.0,0.5,5,completed,1014.0376449367672,978.9130744767344,1.683494291105607,0.13301924224111653,0.008206495222097186,4.847622816205806e-05,9,100000.0,2026-01-09T21:26:12.450504
100000,1.0,0.5,7,completed,1014.0376449367672,977.0063478948891,1.683494291105607,0.1331042108018688,0.008206495222097186,4.715524956819407e-05,10,100000.0,2026-01-09T21:26:34.813047
100000,1.0,0.5,9,completed,1014.0376449367672,973.2120953674565,1.683494291105607,0.13679797133754643,0.008206495222097186,4.583427097433007e-05,11,100000.0,2026-01-09T21:26:57.265372
100000,1.0,0.5,11,completed,1014.0376449367672,973.2120953674565,1.683494291105607,0.13679797133754643,0.008206495222097186,4.583427097433007e-05,11,100000.0,2026-01-09T21:27:19.520937
100000,1.0,0.6,3,completed,1014.0376449367672,975.88396883576,1.683494291105607,0.09645281408512545,0.008206495222097186,3.453083025026607e-05,8,100000.0,2026-01-09T21:27:41.245748
100000,1.0,0.6,5,completed,1014.0376449367672,975.5214143578701,1.683494291105607,0.10645831886848565,0.008206495222097186,3.5266442223418065e-05,9,100000.0,2026-01-09T21:28:03.045384
100000,1.0,0.6,7,completed,1014.0376449367672,973.6146877760247,1.683494291105607,0.1065432874292379,0.008206495222097186,3.394546362955407e-05,10,100000.0,2026-01-09T21:28:24.838110
100000,1.0,0.6,9,completed,1014.0376449367672,969.820435248592,1.683494291105607,0.11023704796491553,0.008206495222097186,3.262448503569007e-05,11,100000.0,2026-01-09T21:28:46.591286
100000,1.0,0.6,11,completed,1014.0376449367672,969.820435248592,1.683494291105607,0.11023704796491553,0.008206495222097186,3.262448503569007e-05,11,100000.0,2026-01-09T21:29:08.462529
100000,1.0,0.7,3,completed,1014.0376449367672,978.9273227308465,1.683494291105607,0.07466656729865773,0.008206495222097186,2.3717765786339e-05,7,100000.0,2026-01-09T21:29:30.277523
100000,1.0,0.7,5,completed,1014.0376449367672,982.1114948348016,1.683494291105607,0.08730368598855273,0.008206495222097186,2.5774356353355e-05,8,100000.0,2026-01-09T21:29:52.073162
100000,1.0,0.7,7,completed,1014.0376449367672,982.1200863878523,1.683494291105607,0.0926913991904561,0.008206495222097186,2.7095334947219002e-05,10,100000.0,2026-01-09T21:30:13.945608
100000,1.0,0.7,9,completed,1014.0376449367672,978.6649998723061,1.683494291105607,0.09904125206339683,0.008206495222097186,2.7095334947219002e-05,11,100000.0,2026-01-09T21:30:35.897766
100000,1.0,0.7,11,completed,1014.0376449367672,978.6649998723061,1.683494291105607,0.09904125206339683,0.008206495222097186,2.7095334947219002e-05,11,100000.0,2026-01-09T21:30:57.806904
